v	n_R_single	n_R_exponential	n_R_powerlaw
1.000000000000000021e-02	1.590000000000000080e+00	1.679999999999999938e+00	1.649999999999999911e+00
1.499999999999999944e-02	2.115000000000000213e+00	2.705000000000000071e+00	2.234999999999999876e+00
1.999999999999999695e-02	2.805000000000000160e+00	5.065000000000000391e+00	3.504999999999999893e+00
2.499999999999999792e-02	3.729999999999999982e+00	8.544999999999999929e+00	4.599999999999999645e+00
2.999999999999999889e-02	5.400000000000000355e+00	2.251000000000000156e+01	6.825000000000000178e+00
3.499999999999999639e-02	6.924999999999999822e+00	6.058500000000000085e+01	1.454499999999999993e+01
3.999999999999999389e-02	1.241999999999999993e+01	1.348650000000000091e+02	2.605999999999999872e+01
4.499999999999999833e-02	1.921000000000000085e+01	2.498899999999999864e+02	5.470499999999999829e+01
4.999999999999999584e-02	2.896000000000000085e+01	3.553399999999999750e+02	1.182500000000000000e+02
5.499999999999999334e-02	7.281999999999999318e+01	3.994300000000000068e+02	2.023199999999999932e+02
5.999999999999999084e-02	1.263199999999999932e+02	5.128700000000000045e+02	2.785749999999999886e+02
6.499999999999998834e-02	1.843700000000000045e+02	4.913399999999999750e+02	3.524800000000000182e+02
6.999999999999999278e-02	3.558199999999999932e+02	6.230399999999999636e+02	5.264550000000000409e+02
7.499999999999998335e-02	4.096399999999999864e+02	6.725599999999999454e+02	5.266200000000000045e+02
7.999999999999998779e-02	4.616000000000000227e+02	7.305149999999999864e+02	5.776150000000000091e+02
8.499999999999997835e-02	5.978849999999999909e+02	7.272100000000000364e+02	6.564650000000000318e+02
8.999999999999998279e-02	6.626200000000000045e+02	7.116799999999999500e+02	6.970199999999999818e+02
9.499999999999998723e-02	6.107549999999999955e+02	7.487250000000000227e+02	7.005850000000000364e+02
