v_single	v_exponential	v_powerlaw	n_R_single	n_R_exponential	n_R_powerlaw
1.000000000000000021e-02	1.000000000000000021e-02	1.000000000000000021e-02	1.331360946745562268e+00	1.495575221238938157e+00	1.372505543237250603e+00
1.009999999999999960e-02	1.000999999999999980e-02	1.009999999999999960e-02	1.335787223937306978e+00	1.496562965062717243e+00	1.378108565825831189e+00
1.019999999999999900e-02	1.001999999999999939e-02	1.019999999999999900e-02	1.340243030736240293e+00	1.497552670781017170e+00	1.383767804353668307e+00
1.029999999999999839e-02	1.002999999999999899e-02	1.029999999999999839e-02	1.344728663638536936e+00	1.498544344244834292e+00	1.389484109120374455e+00
1.039999999999999779e-02	1.003999999999999858e-02	1.039999999999999779e-02	1.349244423123050929e+00	1.499537991328452557e+00	1.395258347660845111e+00
1.049999999999999718e-02	1.004999999999999817e-02	1.049999999999999718e-02	1.353790613718411473e+00	1.500533617929562302e+00	1.401091405184174521e+00
1.059999999999999658e-02	1.005999999999999776e-02	1.059999999999999658e-02	1.358367544071480193e+00	1.501531229969375270e+00	1.406984185026053380e+00
1.069999999999999597e-02	1.006999999999999736e-02	1.069999999999999597e-02	1.362975527017203703e+00	1.502530833392742515e+00	1.412937609115133553e+00
1.079999999999999537e-02	1.007999999999999695e-02	1.079999999999999537e-02	1.367614879649890369e+00	1.503532434168272092e+00	1.418952618453865000e+00
1.089999999999999476e-02	1.008999999999999654e-02	1.089999999999999476e-02	1.372285923395950125e+00	1.504536038288448951e+00	1.425030173614334483e+00
1.099999999999999416e-02	1.009999999999999613e-02	1.099999999999999416e-02	1.376988984088127088e+00	1.505541651769752853e+00	1.431171255249649832e+00
1.109999999999999355e-02	1.010999999999999573e-02	1.109999999999999355e-02	1.381724392041267180e+00	1.506549280652780265e+00	1.437376864621446426e+00
1.119999999999999295e-02	1.011999999999999532e-02	1.119999999999999295e-02	1.386492482129652259e+00	1.507558931002364044e+00	1.443648024144109865e+00
1.129999999999999234e-02	1.012999999999999491e-02	1.129999999999999234e-02	1.391293593865940759e+00	1.508570608907695121e+00	1.449985777946334986e+00
1.139999999999999174e-02	1.013999999999999450e-02	1.139999999999999174e-02	1.396128071481756994e+00	1.509584320482446174e+00	1.456391192450671390e+00
1.149999999999999113e-02	1.014999999999999410e-02	1.149999999999999113e-02	1.400996264009962244e+00	1.510600071864893534e+00	1.462865356971729369e+00
1.159999999999999053e-02	1.015999999999999369e-02	1.159999999999999053e-02	1.405898525368657559e+00	1.511617869218041310e+00	1.469409384333750346e+00
1.169999999999998992e-02	1.016999999999999328e-02	1.169999999999998992e-02	1.410835214446952257e+00	1.512637718729746616e+00	1.476024411508281897e+00
1.179999999999998932e-02	1.017999999999999287e-02	1.179999999999998932e-02	1.415806695192549203e+00	1.513659626612844367e+00	1.482711600272717867e+00
1.189999999999998871e-02	1.018999999999999247e-02	1.189999999999998871e-02	1.420813336701186591e+00	1.514683599105273837e+00	1.489472137890509584e+00
1.199999999999998811e-02	1.019999999999999206e-02	1.199999999999998811e-02	1.425855513307984213e+00	1.515709642470205232e+00	1.496307237813883972e+00
1.209999999999998750e-02	1.020999999999999165e-02	1.209999999999998750e-02	1.430933604680742155e+00	1.516737762996167138e+00	1.503218140409940728e+00
1.219999999999998690e-02	1.021999999999999124e-02	1.219999999999998690e-02	1.436047995915240794e+00	1.517767966997176643e+00	1.510206113711041631e+00
1.229999999999998629e-02	1.022999999999999084e-02	1.229999999999998629e-02	1.441199077632589587e+00	1.518800260812865899e+00	1.517272454190446762e+00
1.239999999999998569e-02	1.023999999999999043e-02	1.239999999999998569e-02	1.446387246078682853e+00	1.519834650808614684e+00	1.524418487564191960e+00
1.249999999999998508e-02	1.024999999999999002e-02	1.249999999999998508e-02	1.451612903225805606e+00	1.520871143375679635e+00	1.531645569620252001e+00
1.259999999999998448e-02	1.025999999999998961e-02	1.259999999999998448e-02	1.456876456876456061e+00	1.521909744931326802e+00	1.538955087076075756e+00
1.269999999999998387e-02	1.026999999999998921e-02	1.269999999999998387e-02	1.462178320769429885e+00	1.522950461918963105e+00	1.546348458465634401e+00
1.279999999999998327e-02	1.027999999999998880e-02	1.279999999999998327e-02	1.467518914688233034e+00	1.523993300808271112e+00	1.553827135057173958e+00
1.289999999999998266e-02	1.028999999999998839e-02	1.289999999999998266e-02	1.472898664571876459e+00	1.525038268095341154e+00	1.561392601802920721e+00
1.299999999999998206e-02	1.029999999999998798e-02	1.299999999999998206e-02	1.478318002628119965e+00	1.526085370302808109e+00	1.569046378322041413e+00
1.309999999999998145e-02	1.030999999999998758e-02	1.309999999999998145e-02	1.483777367449220730e+00	1.527134613979985733e+00	1.576790019918229202e+00
1.319999999999998085e-02	1.031999999999998717e-02	1.319999999999998085e-02	1.489277204130261101e+00	1.528186005703003669e+00	1.584625118633342433e+00
1.329999999999998024e-02	1.032999999999998676e-02	1.329999999999998024e-02	1.494817964390113163e+00	1.529239552074945774e+00	1.592553304338600428e+00
1.339999999999997964e-02	1.033999999999998635e-02	1.339999999999997964e-02	1.500400106695117586e+00	1.530295259725985790e+00	1.600576245864900660e+00
1.349999999999997903e-02	1.034999999999998595e-02	1.349999999999997903e-02	1.506024096385540911e+00	1.531353135313529901e+00	1.608695652173911306e+00
1.359999999999997843e-02	1.035999999999998554e-02	1.359999999999997843e-02	1.511690405804889892e+00	1.532413185522353727e+00	1.616913273571658261e+00
1.369999999999997782e-02	1.036999999999998513e-02	1.369999999999997782e-02	1.517399514432154151e+00	1.533475417064744661e+00	1.625230902966422253e+00
1.379999999999997722e-02	1.037999999999998472e-02	1.379999999999997722e-02	1.523151909017057992e+00	1.534539836680643088e+00	1.633650377172841672e+00
1.389999999999997661e-02	1.038999999999998432e-02	1.389999999999997661e-02	1.528948083718400408e+00	1.535606451137784711e+00	1.642173578264215283e+00
1.399999999999997601e-02	1.039999999999998391e-02	1.399999999999997601e-02	1.534788540245564992e+00	1.536675267231844888e+00	1.650802434975094712e+00
1.409999999999997540e-02	1.040999999999998350e-02	1.409999999999997540e-02	1.540673788003285249e+00	1.537746291786582287e+00	1.659538924156362727e+00
1.419999999999997480e-02	1.041999999999998310e-02	1.419999999999997480e-02	1.546604344239756568e+00	1.538819531653983663e+00	1.668385072285103909e+00
1.429999999999997419e-02	1.042999999999998269e-02	1.429999999999997419e-02	1.552580734198176771e+00	1.539894993714410631e+00	1.677342957031688453e+00
1.439999999999997359e-02	1.043999999999998228e-02	1.439999999999997359e-02	1.558603491271818964e+00	1.540972684876746879e+00	1.686414708886616598e+00
1.449999999999997298e-02	1.044999999999998187e-02	1.449999999999997298e-02	1.564673157162724371e+00	1.542052612078545604e+00	1.695602512849797794e+00
