f	n_single	n_exponential	n_powerlaw	n_exponential_dir	n_powerlaw_dir
0.000000000000000000e+00	3.081999999999999740e-01	7.091910000000000158e-01	8.236569999999999725e-01	7.091910000000000158e-01	8.236569999999999725e-01
5.000000000000000000e+00	2.259600000000000497e-01	6.474599999999999245e-01	7.110800000000000454e-01	4.212399999999999478e-01	1.160000000000000198e-01
1.000000000000000000e+01	1.970000000000000362e-01	5.775390000000000246e-01	6.611424625098658581e-01	2.167715000000000058e-01	4.609750000000000653e-02
1.500000000000000000e+01	1.383599999999999830e-01	5.053199999999999914e-01	5.923800000000000177e-01	1.269599999999999895e-01	3.502000000000000252e-02
2.000000000000000000e+01	1.212099999999999983e-01	4.452580000000000426e-01	5.390135000000000343e-01	7.039950000000000374e-02	2.706800000000000178e-02
2.500000000000000000e+01	9.013999999999999790e-02	3.680000000000000493e-01	5.027399999999999647e-01	4.863999999999999574e-02	2.121999999999999928e-02
3.000000000000000000e+01	8.080999999999999295e-02	3.061955000000000648e-01	4.178329999999999544e-01	3.707749999999999935e-02	2.213100000000000483e-02
4.000000000000000000e+01	5.669000000000000428e-02	1.840600000000000014e-01	3.109000000000000097e-01	2.247999999999999651e-02	2.019999999999999921e-02
5.000000000000000000e+01	3.472000000000000086e-02	1.081600000000000061e-01	2.184199999999999475e-01	2.127999999999999683e-02	1.864000000000000032e-02
6.000000000000000000e+01	2.769999999999999893e-02	4.891999999999999127e-02	1.203000000000000180e-01	1.896000000000000116e-02	1.726000000000000104e-02
7.000000000000000000e+01	1.966666666666666563e-02	2.915999999999999495e-02	5.983999999999999736e-02	1.861999999999999766e-02	1.617999999999999994e-02
