n_v	<n_r>-n_v	P(delta N_v)-inset
0.000000000000000000e+00	2.810000000000000000e+02	1.600000000000000033e-01
1.000000000000000000e+01	2.407400000000000091e+02	2.000000000000000111e-01
2.000000000000000000e+01	2.161800000000000068e+02	4.000000000000000222e-01
3.000000000000000000e+01	2.174600000000000080e+02	2.200000000000000011e-01
4.000000000000000000e+01	2.035600000000000023e+02	4.600000000000000200e-01
5.000000000000000000e+01	2.039199999999999875e+02	5.000000000000000000e-01
6.000000000000000000e+01	1.978799999999999955e+02	3.800000000000000044e-01
7.000000000000000000e+01	1.849600000000000080e+02	5.400000000000000355e-01
8.000000000000000000e+01	1.909799999999999898e+02	2.800000000000000266e-01
9.000000000000000000e+01	1.722800000000000011e+02	4.799999999999999822e-01
1.000000000000000000e+02	1.734199999999999875e+02	3.200000000000000067e-01
1.100000000000000000e+02	1.630800000000000125e+02	5.600000000000000533e-01
1.200000000000000000e+02	1.629600000000000080e+02	4.199999999999999845e-01
1.300000000000000000e+02	1.548000000000000114e+02	5.600000000000000533e-01
1.400000000000000000e+02	1.531999999999999886e+02	4.199999999999999845e-01
1.500000000000000000e+02	1.417400000000000091e+02	5.200000000000000178e-01
1.600000000000000000e+02	1.387400000000000091e+02	4.799999999999999822e-01
1.700000000000000000e+02	1.358600000000000136e+02	5.000000000000000000e-01
1.800000000000000000e+02	1.311999999999999886e+02	4.000000000000000222e-01
1.900000000000000000e+02	1.190400000000000063e+02	4.000000000000000222e-01
2.000000000000000000e+02	1.173400000000000034e+02	5.000000000000000000e-01
2.100000000000000000e+02	1.194000000000000057e+02	4.199999999999999845e-01
2.200000000000000000e+02	1.144800000000000040e+02	3.599999999999999867e-01
2.300000000000000000e+02	1.075999999999999943e+02	4.199999999999999845e-01
2.400000000000000000e+02	1.030999999999999943e+02	3.200000000000000067e-01
2.500000000000000000e+02	9.926000000000000512e+01	2.800000000000000266e-01
2.600000000000000000e+02	9.251999999999999602e+01	5.600000000000000533e-01
2.700000000000000000e+02	9.184000000000000341e+01	3.599999999999999867e-01
2.800000000000000000e+02	8.087999999999999545e+01	6.199999999999999956e-01
