n_v	<n_r>-n_v	P(delta N_v)-inset
0.000000000000000000e+00	6.710000000000000000e+02	5.799999999999999600e-01
1.000000000000000000e+01	6.781799999999999500e+02	4.600000000000000200e-01
2.000000000000000000e+01	6.670399999999999636e+02	3.800000000000000044e-01
3.000000000000000000e+01	6.469199999999999591e+02	4.600000000000000200e-01
4.000000000000000000e+01	6.261000000000000227e+02	6.400000000000000133e-01
5.000000000000000000e+01	6.336599999999999682e+02	2.999999999999999889e-01
6.000000000000000000e+01	5.923600000000000136e+02	4.400000000000000022e-01
7.000000000000000000e+01	5.868999999999999773e+02	5.400000000000000355e-01
8.000000000000000000e+01	5.945800000000000409e+02	4.000000000000000222e-01
9.000000000000000000e+01	5.727200000000000273e+02	5.200000000000000178e-01
1.000000000000000000e+02	5.609800000000000182e+02	2.600000000000000089e-01
1.100000000000000000e+02	5.270599999999999454e+02	4.799999999999999822e-01
1.200000000000000000e+02	5.206399999999999864e+02	5.000000000000000000e-01
1.300000000000000000e+02	4.957200000000000273e+02	5.600000000000000533e-01
1.400000000000000000e+02	4.931800000000000068e+02	4.400000000000000022e-01
1.500000000000000000e+02	4.867400000000000091e+02	4.199999999999999845e-01
1.600000000000000000e+02	4.691800000000000068e+02	5.999999999999999778e-01
1.700000000000000000e+02	4.692200000000000273e+02	4.199999999999999845e-01
1.800000000000000000e+02	4.465400000000000205e+02	4.400000000000000022e-01
1.900000000000000000e+02	4.218600000000000136e+02	5.400000000000000355e-01
2.000000000000000000e+02	4.142200000000000273e+02	5.600000000000000533e-01
2.100000000000000000e+02	4.131800000000000068e+02	4.400000000000000022e-01
2.200000000000000000e+02	3.911600000000000250e+02	4.000000000000000222e-01
2.300000000000000000e+02	3.547200000000000273e+02	5.400000000000000355e-01
2.400000000000000000e+02	3.554200000000000159e+02	5.200000000000000178e-01
2.500000000000000000e+02	3.336999999999999886e+02	5.000000000000000000e-01
2.600000000000000000e+02	3.181600000000000250e+02	4.799999999999999822e-01
2.700000000000000000e+02	3.001999999999999886e+02	5.400000000000000355e-01
2.800000000000000000e+02	2.948399999999999750e+02	5.000000000000000000e-01
