n_v	<n_r>-n_v	P(delta N_v)-inset
0.000000000000000000e+00	7.170000000000000000e+02	3.200000000000000067e-01
1.000000000000000000e+01	6.943799999999999955e+02	4.199999999999999845e-01
2.000000000000000000e+01	6.778999999999999773e+02	5.999999999999999778e-01
3.000000000000000000e+01	6.813400000000000318e+02	2.800000000000000266e-01
4.000000000000000000e+01	6.491599999999999682e+02	4.000000000000000222e-01
5.000000000000000000e+01	6.263400000000000318e+02	4.400000000000000022e-01
6.000000000000000000e+01	6.178799999999999955e+02	6.199999999999999956e-01
7.000000000000000000e+01	6.256799999999999500e+02	5.400000000000000355e-01
8.000000000000000000e+01	6.178600000000000136e+02	4.799999999999999822e-01
9.000000000000000000e+01	5.967000000000000455e+02	5.400000000000000355e-01
1.000000000000000000e+02	5.983400000000000318e+02	2.399999999999999911e-01
1.100000000000000000e+02	5.668799999999999955e+02	5.400000000000000355e-01
1.200000000000000000e+02	5.632599999999999909e+02	3.599999999999999867e-01
1.300000000000000000e+02	5.421399999999999864e+02	5.200000000000000178e-01
1.400000000000000000e+02	5.374400000000000546e+02	5.200000000000000178e-01
1.500000000000000000e+02	5.404400000000000546e+02	3.400000000000000244e-01
1.600000000000000000e+02	5.157799999999999727e+02	4.600000000000000200e-01
1.700000000000000000e+02	5.030000000000000000e+02	2.999999999999999889e-01
1.800000000000000000e+02	4.734599999999999795e+02	6.999999999999999556e-01
1.900000000000000000e+02	4.915799999999999841e+02	3.800000000000000044e-01
2.000000000000000000e+02	4.780400000000000205e+02	3.800000000000000044e-01
2.100000000000000000e+02	4.488199999999999932e+02	5.400000000000000355e-01
2.200000000000000000e+02	4.556999999999999886e+02	4.400000000000000022e-01
2.300000000000000000e+02	4.488199999999999932e+02	3.400000000000000244e-01
2.400000000000000000e+02	4.239200000000000159e+02	4.600000000000000200e-01
2.500000000000000000e+02	4.155600000000000023e+02	4.000000000000000222e-01
2.600000000000000000e+02	4.033799999999999955e+02	3.599999999999999867e-01
2.700000000000000000e+02	3.820199999999999818e+02	6.400000000000000133e-01
2.800000000000000000e+02	3.915199999999999818e+02	3.800000000000000044e-01
